======================================================================================================================================================
                                                             REPORTE DE CATALOGO DE PRODUCTOS
======================================================================================================================================================
CODIGO  NOMBRE PRODUCTO                                       TIPO            PRECIO            EMPAQ.              UNID             VALOR
------------------------------------------------------------------------------------------------------------------------------------------------------
P0001   Avena Pacifico Tipo 17                                   A             25.00                 2                45            993.75
P0002   Bebida Isotonica Costa Tipo 24                           B             56.00                 8               340          16876.16
P0003   Jabon Liquido Amazonia Tipo 22                           L             35.00                 2                37           1197.35
P0004   Alcohol Gel Valle Tipo 05                                H             45.99                 2                35           1356.71
P0005   Cereal Pacifico Tipo 01                                  S             43.00                 2                70           2846.60
P0006   Salsa de Tomate Amazonia Tipo 11                         C             28.00                 2                60           1471.68
P0007   Cuaderno Kantu Tipo 18                                   O             26.00                 3               173           4268.16
P0008   Arena Gato Amazonia Tipo 11                              M             43.00                 2               112           4227.76
P0009   Azucar Sierra Tipo 05                                    A             66.00                 1                12            681.12
P0015   Folder Misti Tipo 09                                     O             42.00                 1                48           1693.44
P0017   Sal Central Tipo 03                                      A              3.00                 1                25             69.00
P0018   Gaseosa Sol Tipo 07                                      B             64.00                 2               150           8352.00
P0019   Suavizante Central Tipo 11                               L             31.70                 2               125           3542.48
P0020   Alcohol Gel Kantu Tipo 13                                H             18.00                 1                24            410.40
P0021   Cereal Inti Tipo 05                                      S             26.00                 2               112           2640.56
P0022   Durazno Central Tipo 01                                  C             29.00                 2                68           1630.96
P0023   Marcador Andes Tipo 23                                   O             36.00                 2                60           2039.04
P0024   Alimento Perro Sol Tipo 04                               M              3.00                 1                48            132.48
P0025   Fideo Kantu Tipo 04                                      A             24.00                 2                70           1495.20
P0026   Bebida Isotonica Pacifico Tipo 20                        B             35.00                 2               120           3535.00
P0027   Suavizante Costa Tipo 14                                 L             16.00                 1                12            161.28
P0028   Pasta Dental Sol Tipo 07                                 H             69.20                 2                60           3771.40
P0029   Papas Amazonia Tipo 05                                   S             31.00                 1                24            647.28
P0030   Durazno Sierra Tipo 08                                   C             35.00                 2                37           1148.35
P0031   Folder Kantu Tipo 04                                     O             49.00                 1               100           4410.00
P0032   Alimento Perro Valle Tipo 21                             M             46.00                 2                60           2439.84
P0033   Quinua Valle Tipo 12                                     A             16.00                 1                10            147.20
P0034   Agua Central Tipo 04                                     B             27.00                 2                98           2314.44
P0035   Desinfectante Central Tipo 06                            L              2.00                 1                25             42.50
P0036   Jabon Norte Tipo 24                                      H             20.00                 1                50            850.00
P0037   Chocolate Kantu Tipo 18                                  S             30.00                 1                20            546.00
P0038   Atun Costa Tipo 16                                       C              8.00                 2                70            505.60
P0039   Marcador Inti Tipo 24                                    O              2.00                 2                70            114.60
P0040   Alimento Gato Central Tipo 13                            M             50.00                 1                50           2075.00
P0041   Lenteja Amazonia Tipo 11                                 A             70.00                 1               100           6230.00
P0043   Suavizante Sol Tipo 06                                   L             37.00                 2                68           2237.76
P0044   Papel Higienico Pacifico Tipo 02                         H             11.90                 2                30            291.55
P0045   Barra Energetica Sol Tipo 11                             S             13.00                 2                75            913.25
P0046   Sardina Amazonia Tipo 14                                 C             32.00                 2                70           2028.80
P0047   Lapicero Valle Tipo 14                                   O             60.00                 2                72           3888.00
P0048   Alimento Gato Pacifico Tipo 10                           M             33.00                 1                25            717.75
P0049   Arroz Costa Tipo 21                                      A             43.00                 1                20            739.60
